index,Diff_VIX_1d,Diff_VIX_1w,Diff_VIX_2w,Diff_V2X_1d,Diff_V2X_1w,Diff_V2X_2w,Diff_EURUSD_1d,Diff_EURUSD_1w,Diff_EURUSD_2w,Diff_EURUSDV1M_1d,Diff_EURUSDV1M_1w,Diff_EURUSDV1M_2w,Diff_USGG10YR_1d,Diff_USGG10YR_1w,Diff_USGG10YR_2w,Diff_USGG2YR_1d,Diff_USGG2YR_1w,Diff_USGG2YR_2w,Diff_GDBR10YR_1d,Diff_GDBR10YR_1w,Diff_GDBR10YR_2w,Diff_GDBR2YR_1d,Diff_GDBR2YR_1w,Diff_GDBR2YR_2w,Diff_SX5E_1d,Diff_SX5E_1w,Diff_SX5E_2w,Diff_SPX_1d,Diff_SPX_1w,Diff_SPX_2w,Diff_SRVIX_1d,Diff_SRVIX_1w,Diff_SRVIX_2w,Diff_CVIX_1d,Diff_CVIX_1w,Diff_CVIX_2w,Diff_MOVE_1d,Diff_MOVE_1w,Diff_MOVE_2w
50,-1.63,-0.6,-3.52,-0.265,0.2507,-0.437,-0.0014,0.0003,0.0179,0.2025,-0.2925,-1.975,0.012,-0.1302,-0.1973,0.0217,-0.0757,-0.1026,-0.028,-0.14,-0.212,-0.007,-0.017,-0.034,-0.47,-35.17,-16.92,20.24,11.64,32.19,-0.1,-0.79,-0.43,-0.08,0.12,-0.52,-1.2296,-4.954,-6.6532
51,-0.59,-0.62,-1.3,-1.0022,-1.2923,-1.3924,0.0014,-0.0017,-0.002,0,0.575,0.55,0.0283,0.016,-0.1147,0.0169,-0.0264,-0.0988,0.014,0.033,-0.065,-0.001,0.016,-0.056,18.18,46.75,20.53,-1.17,7.77,10.11,0,0,0,0.066025,0.314632,0.053737,0.3,4,1.2
52,1.3,5.21,5.43,1.0366,2.8494,4.025,-0.0022,-0.0065,0.01,-0.065,0.18,-0.24,-0.0219,-0.0477,-0.1962,-0.0286,-0.099,-0.1981,-0.012,-0.021,-0.132,-0.013,-0.004,-0.032,-23.93,-26.19,-98.21,-43.71,-64.68,-57.13,0.45,1.04,0.18,0.07,0.12,-0.09,1.0751,2.7672,-0.2818
53,-4.56,-19.11,-3,-10.941,-18.2201,-3.2613,0.0222,0.0236,0.023,-1.5825,-4.665,-2.89,0.0727,0.3135,0.1656,0.041,0.1151,-0.0535,0.08,0.255,0.236,0.047,0.122,0.064,130.13,194.47,144.69,21.76,85.85,54.38,0,0,0,-0.7828,-3.7752,-1.4943,-10.3,-21.4,-22
54,0.67,1.14,0.97,0.191,0.6231,1.6765,0.0052,0.0085,-0.0059,-0.095,-0.0325,-0.2475,-0.0208,-0.1095,-0.1701,-0.0081,-0.0113,-0.0229,0.064,0.017,-0.072,0.022,0.006,-0.036,7.96,7.95,-50.03,-0.87,-2.58,-11.82,-1,-1.15,-2.9,0.04,-0.08,-0.04,-1.3,6,3.9
55,-4.48,-3.8,-0.12,-3.8579,-3.8453,-0.2159,0.0154,0.0171,0.0295,-1.105,-1.335,-0.87,0.0989,0.015,-0.026,0.0715,0,0.0324,0.06,0.025,0.029,0.073,0.095,0.076,97.16,104.44,42.36,34.17,29.14,-2.23,0,0,0,-0.8687,-0.9979,-0.272,-0.9,-0.2,4.1
56,-0.51,-2.52,-0.78,-0.6169,-2.7958,-0.8066,-0.0012,0.0009,-0.0136,-0.36,-0.03,0.54,0.0431,0.0695,0.0197,0.0099,0.0357,0.0297,0.035,0.089,0.024,0.012,0.036,-0.022,9.19,53.43,-6.47,7.16,35.66,-10.29,0,0.31,0.27,-0.22,-0.34,-0.18,-5.78,-3.63,-0.75
57,-0.42,1.73,13.93,1.8075,1.2419,14.1714,-0.0056,-0.0741,-0.1023,0.74,-3.09,-4.8475,0.0979,0.2251,0.5678,0.0961,0.2038,0.1198,-0.078,-0.042,0.218,-0.044,0.136,0.459,-31.51,41.81,51.63,21.03,41.13,38.07,0,0,0,0.2396,-1.3044,-2.0205,-1.3,-1.1,18.8
58,4.21,5.48,9.43,4.4797,7.9585,10.5083,-0.0053,0.0325,0.0284,0.3275,0.7725,1.56,-0.0907,0.0625,0.0228,-0.0038,-0.0197,-0.0563,-0.133,0.071,0.072,-0.03,0.035,0.063,-54.54,63.16,15.03,-20.84,18.6,-19.65,0,0,0,0.1861,0.4933,1.1066,-4.9,7.8,4.8
59,-4.51,0.08,0.19,-0.9191,3.5304,1.7927,-0.0002,0.0075,0.003,-0.165,0.08,-0.0825,0.0657,0.0763,0.147,0.0777,0.068,0.102,0.025,0.059,0.072,0.012,0.031,0.016,40.27,-64.59,10.35,69.53,21.87,55.34,-1.7,-2.41,-3.36,-0.18,-0.15,-0.09,-4.4015,-3.4809,-7.046
60,1.19,2.21,0,1.7237,2.2546,1.0467,0.0026,-0.0073,0.0014,-0.0625,-0.4775,-0.4525,-0.1377,-0.2662,-0.2982,-0.0652,-0.1734,-0.345,-0.057,-0.178,-0.25,-0.014,-0.039,-0.183,-54.83,-85.81,-93.74,-11.58,-24.01,-12.63,0,0,0,-0.0457,-0.2672,-0.1248,-8.8,-11.2,-13.7
61,0.2,2.3,3.24,0.7374,4.7558,4.3798,0.0037,-0.0041,0.0025,0.04,0.1225,0.68,0.0148,0.041,0.0967,0.004,0.0135,0.0507,-0.035,-0.019,0.027,0.003,0.007,0.035,-24.61,-56.18,8.58,11.25,-6.55,24.45,0.21,1.38,0.99,-0.06,0.02,0.38,2.33,6.45,6.36
62,0.82,-5.44,1.12,2.3341,0.9121,4.1604,0.0031,0.0208,0.0088,0.29,1.6,2.97,-0.1312,-0.082,-0.2093,-0.1003,0.0982,-0.0544,-0.005,-0.06,-0.012,0.029,0.103,-0.03,12.24,112.77,57.97,8.24,76.81,53.54,0,0,0,0.4824,0.9841,1.7594,-9.9,-10.5,1
63,-2.59,2.91,2.76,1.5367,4.1601,4.2697,0.0077,-0.0101,-0.0216,0.05,-0.055,0.0825,-0.0405,0.0857,0.1638,-0.0042,0.0395,0.047,-0.055,0.011,0.11,-0.024,-0.007,-0.015,-26.87,-50.96,-44.35,12.08,-34.52,-51.97,-0.95,2.39,6.26,-0.06,0.44,0.52,1.2937,5.6406,18.5717
64,-0.35,2.56,2.41,-1.898,2.2621,2.3717,-0.0031,-0.0132,-0.0247,-0.105,-0.16,-0.0225,0,0.0857,0.1638,0,0.0395,0.047,0.005,0.016,0.115,0.003,-0.004,-0.012,-3.41,-54.37,-47.76,-6.94,-41.46,-58.91,0.22,2.61,6.48,0.21,0.65,0.73,0,5.6406,18.5717
65,-0.4,1.68,-1.33,-1.7693,3.5055,4.1474,-0.0034,-0.0481,-0.0714,-0.01,0.375,1.23,0.0405,0.0006,-0.0805,0.024,0.0246,-0.0156,-0.001,-0.159,-0.307,0.004,-0.285,-0.423,47.37,-112.15,-162.31,1.75,-21.74,-11.85,0,0,0,0.3962,0.6413,0.9286,5,11.1,12.2
66,-0.15,1.12,0.79,-2.5416,0.0195,1.2073,-0.0004,0.0095,0.0104,-0.1575,0.285,1.2375,0.0482,0.0463,0.0604,0.01,-0.0204,-0.029,0.062,0.074,0.051,0.021,0.075,0.023,42.38,-3.2,13.71,5.36,10.6,-4.43,-0.38,0.78,2.28,-0.04,-0.26,0.22,-3.3433,-2.4087,1.9914
67,-0.5,-0.37,0.82,-2.5191,-2.8079,1.0534,-0.0044,0.02,-0.0134,-0.0625,-0.9175,-1.5725,0.0943,0.2104,0.222,0.0802,0.1612,0.1867,0.05,0.243,0.231,0.058,0.175,0.154,42.25,126.62,38.28,10.3,19.32,-10.79,0,0,0,-0.129,-0.2642,-0.1985,0.6,3,11
68,-1.24,-2.93,-6.28,0.7875,0.0318,-3.854,0.0031,-0.0273,-0.0308,0.155,3.44,3.085,-0.0366,-0.0751,-0.1227,-0.0278,-0.0223,-0.0572,-0.002,-0.103,-0.173,0.003,-0.126,-0.101,10.98,182.18,238.13,23.12,39.04,59.22,0.03,0.2,-0.58,0.07,0.9,0.75,-1.3348,-1.7359,-8.5942
